"window_start";"window_end";"metric";"value"
"2025-10-18";"2025-11-17";"total_interactions";"27"
"2025-10-18";"2025-11-17";"likes";"12"
"2025-10-18";"2025-11-17";"comments";"0"
"2025-10-18";"2025-11-17";"shares";"3"
"2025-10-18";"2025-11-17";"saves";"3"
"2025-10-18";"2025-11-17";"replies";"5"
"2025-10-18";"2025-11-17";"follows_and_unfollows";""
"2025-11-17";"2025-12-17";"website_clicks";"45"
"2025-11-17";"2025-12-17";"profile_views";"223"
"2025-11-17";"2025-12-17";"accounts_engaged";"110"
"2025-11-17";"2025-12-17";"total_interactions";"148"
"2025-11-17";"2025-12-17";"likes";"74"
"2025-11-17";"2025-12-17";"comments";"10"
"2025-11-17";"2025-12-17";"shares";"16"
"2025-11-17";"2025-12-17";"saves";"24"
"2025-11-17";"2025-12-17";"replies";"6"
"2025-11-17";"2025-12-17";"follows_and_unfollows";""
"2025-12-17";"2026-01-16";"website_clicks";"1"
"2025-12-17";"2026-01-16";"profile_views";"27"
"2025-12-17";"2026-01-16";"accounts_engaged";"13"
"2025-12-17";"2026-01-16";"total_interactions";"7"
"2025-12-17";"2026-01-16";"likes";"5"
"2025-12-17";"2026-01-16";"comments";"0"
"2025-12-17";"2026-01-16";"shares";"0"
"2025-12-17";"2026-01-16";"saves";"1"
"2025-12-17";"2026-01-16";"replies";"0"
"2025-12-17";"2026-01-16";"follows_and_unfollows";""
"2026-01-16";"2026-02-15";"website_clicks";"4"
"2026-01-16";"2026-02-15";"profile_views";"32"
"2026-01-16";"2026-02-15";"accounts_engaged";"7"
"2026-01-16";"2026-02-15";"total_interactions";"3"
"2026-01-16";"2026-02-15";"likes";"1"
"2026-01-16";"2026-02-15";"comments";"0"
"2026-01-16";"2026-02-15";"shares";"0"
"2026-01-16";"2026-02-15";"saves";"1"
"2026-01-16";"2026-02-15";"replies";"0"
"2026-01-16";"2026-02-15";"follows_and_unfollows";""
"2026-02-15";"2026-02-27";"website_clicks";"3"
"2026-02-15";"2026-02-27";"profile_views";"7"
"2026-02-15";"2026-02-27";"accounts_engaged";"0"
"2026-02-15";"2026-02-27";"total_interactions";"0"
"2026-02-15";"2026-02-27";"likes";"0"
"2026-02-15";"2026-02-27";"comments";"0"
"2026-02-15";"2026-02-27";"shares";"0"
"2026-02-15";"2026-02-27";"saves";"0"
"2026-02-15";"2026-02-27";"replies";"0"
"2026-02-15";"2026-02-27";"follows_and_unfollows";""
